id,correct,wrong1,wrong2,wrong3,level,age,fix,group
1,bear,give me five,daddy,drink,1,18,0,0
2,bird,give me five,home,ankle,1,18,0,0
3,cat,broken,feed,morning,1,18,0,0
4,dog,jump,cake,play,1,16,1,1
5,duck,fork,popcorn,dark,1,17,0,0
6,fish(animal),house,lamp,hot,1,18,0,0
7,kitty,foot,plate,hurt,1,18,0,0
8,car,puppy,hurry,toy,1,18,0,0
9,truck,bee,turtle,kitty,1,18,0,0
10,ball,hot,star,fork,1,16,0,0
11,balloon,think,turn around,crayon,1,18,0,0
12,book,door,tissue,yes,1,16,0,0
13,bubbles,clock,ride,dirty,1,18,0,0
14,apple,hurt,hush,plate,1,18,1,1
15,banana,strawberry,police,bug,1,16,0,0
16,cheese,toothbrush,gloves,train,1,18,0,0
17,cookie,morning,car,bread,1,18,0,0
18,cracker,hamburger,cat,baby,1,18,0,0
19,juice,knee,boots,firetruck,1,18,0,0
20,milk,puppy,help,hurry,1,18,0,0
21,hat,hurt,cheese,kick,1,18,0,0
22,shoe,apple,hot,cake,1,16,0,0
23,ear,think,bread,cup,1,18,0,0
24,eye,think,fork,toothbrush,1,18,0,0
25,nose,cloud,clown,dog,1,18,0,0
26,baby,pizza,car,egg,1,16,0,0
27,daddy,lady,knee,bicycle,1,16,0,0
28,grandma,bunny,sink,pizza,1,18,0,0
29,grandpa,play,ice cream,coat,1,18,0,0
30,mommy,write,moon,egg,1,16,0,0
31,hello,eye,toy,go,1,18,0,0
32,hi,butterfly,pants,cat,1,16,1,0
33,no,noisy,bus,kitty,1,16,0,0
34,hush,movie,bear,melon,1,18,0,0
35,thanks,tiger,knee,tree,1,18,0,0
36,yes,bed,home,tooth,1,18,0,0
37,hot,paper,light,cheese,1,18,1,0
38,up,shirt,pick,head,1,18,0,0
39,bug,thirsty,thanks,hurry,2,21,0,0
40,bunny,playground,butterfly,brush,2,20,0,0
41,cow,telephone,cheese,cold,2,19,0,0
42,horse,playground,truck,nap,2,21,0,0
43,pig,egg,playground,grandma,2,21,0,0
44,puppy,cup,kiss,hug,2,21,0,0
45,airplane,bucket,drink,tissue,2,20,0,0
46,bicycle,hi,home,movie,2,21,0,0
47,boat,play,bee,fish(food),2,20,0,0
48,bus,cold,broken,read,2,21,1,1
49,toy,mouth,jump,ride,2,21,0,0
50,diaper,wet,arm,clock,2,19,0,0
51,arm,ride,puppy,nose,2,21,0,0
52,finger,bubbles,juice,cake,2,21,0,0
53,hair,bubbles,coat,wet,2,19,0,0
54,hand,egg,tissue,up,2,21,0,0
55,head,chair,grandma,bottle,2,21,1,1
56,mouth,diaper,bucket,popcorn,2,19,0,0
57,toe,light,strawberry,milk,2,21,0,0
58,blanket,firetruck,rain,monkey,2,20,0,0
59,bottle,broken,think,comb,2,19,0,0
60,cup,bubbles,diaper,candy,2,19,0,0
61,light,noisy,kick,clown,2,20,0,0
62,spoon,tissue,bunny,butterfly,2,19,0,0
63,telephone,soap,fish(animal),wolf,2,21,0,0
64,bed,grandma,keys,horse,2,20,0,0
65,chair,pizza,police,comb,2,21,0,0
66,door,yes,bite,daddy,2,20,0,0
67,potty,up,bucket,penguin,2,21,0,0
68,flower,arm,soap,cake,2,19,0,0
69,moon,keys,flower,sweater,2,21,0,0
70,star,sink,toothbrush,present,2,21,0,0
71,tree,cat,hello,thanks,2,20,0,0
72,drink,toothbrush,police,ankle,2,21,0,0
73,eat,boots,blue,tissue,2,19,1,0
