correct,wrong1,wrong2,wrong3,age,priority,mode
bear,give me five,daddy,drink,18,0,1
bird,give me five,home,ankle,18,0,1
cat,broken,feed,morning,18,0,1
dog,jump,cake,play,16,1,1
duck,fork,popcorn,dark,17,0,1
fish,house,lamp,hot,18,0,1
kitty,foot,plate,hurt,18,0,1
car,puppy,hurry,toy,18,0,1
truck,bee,turtle,kitty,18,0,1
ball,hot,star,fork,16,0,1
balloon,think,turn around,crayon,18,0,1
book,door,tissue,yes,16,0,1
bubbles,clock,ride,dirty,18,0,1
apple,hurt,hush,plate,18,1,1
banana,strawberry,police,bug,16,0,1
cheese,toothbrush,gloves,train,18,0,1
cookie,morning,car,bread,18,0,1
cracker,hamburger,cat,baby,18,0,1
juice,knee,boots,firetruck,18,0,1
milk,puppy,help,hurry,18,0,1
hat,hurt,cheese,kick,18,0,1
shoe,apple,hot,cake,16,0,1
ear,think,bread,cup,18,0,1
eye,think,fork,toothbrush,18,0,1
nose,cloud,clown,dog,18,0,1
baby,pizza,car,egg,16,0,1
daddy,lady,knee,bicycle,16,0,1
grandma,bunny,sink,pizza,18,0,1
grandpa,play,ice cream,coat,18,0,1
mommy,write,moon,egg,16,0,1
hello,eye,toy,go,18,0,1
hi,butterfly,pants,cat,16,1,1
no,noisy,bus,kitty,16,0,1
hush,movie,bear,melon,18,0,1
thanks,tiger,knee,tree,18,0,1
yes,bed,home,tooth,18,0,1
hot,paper,light,cheese,18,1,1
up,shirt,pick,head,18,0,1
bath,climb,ride,boat,18,0,1
night,rain,light,hot,18,0,1
bug,thirsty,thanks,hurry,21,0,2
bunny,playground,butterfly,brush,20,0,2
cow,telephone,cheese,cold,19,0,2
horse,playground,truck,nap,21,0,2
pig,egg,playground,grandma,21,0,2
puppy,cup,kiss,hug,21,0,2
airplane,bucket,drink,tissue,20,0,2
bicycle,hi,home,movie,21,0,2
boat,play,bee,yogurt,20,0,2
bus,cold,broken,read,21,1,2
toy,mouth,jump,ride,21,0,2
